id,atom_id,promoted_at,plan_path,status,owner,target_date
P001,A002,2026-04-30,plan/csv-unification.md,done,self,2026-04-30
P002,A003,2026-04-30,plan/csv-unification.md,done,self,2026-04-30
P003,A005,2026-04-30,~/dotfiles claude/.claude/hooks/,done,self,
P004,A001,2026-04-30,bin/check-consistency,done,self,
P005,A004,2026-04-30,hooks/session-resume.sh,done,self,
P006,A059,2026-05-26,plan/12factor-audit.md,done,self,
P007,A073,2026-05-28,CLAUDE.md 設計思想セクション,done,self,
P008,A074,2026-05-28,plan/eval-harness-revisit.md,done,self,
P009,A081,2026-05-29,CLAUDE.md 実行形態 routing セクション,done,self,
P010,A076,2026-06-03,plan/scheduled-atom-suggest.md,planning,self,
